,city,avg_rent
0,Bangalore,24966.365688487585
1,Chennai,21614.092031425364
2,Delhi,29461.98347107438
3,Hyderabad,20555.048387096773
4,Kolkata,11645.173664122138
5,Mumbai,85321.20473251029
