,Date.Day,Date.Month,Date.Year,Data.Cases,Data.Deaths,Location.Country,Location.Code,Data.Population,Location.Continent,Data.Rate
1140,17,1,2020,0,0,Brazil,BRA,211049519,America,0.0
1142,17,1,2020,0,0,Canada,CAN,37411038,America,0.0
1148,17,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
1149,17,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
1171,17,1,2020,0,0,Mexico,MEX,127575529,America,0.0
1196,17,1,2020,0,0,United_States_of_America,USA,329064917,America,0.0
1207,18,1,2020,0,0,Brazil,BRA,211049519,America,0.0
1209,18,1,2020,0,0,Canada,CAN,37411038,America,0.0
1215,18,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
1216,18,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
1238,18,1,2020,0,0,Mexico,MEX,127575529,America,0.0
1263,18,1,2020,0,0,United_States_of_America,USA,329064917,America,0.0
1274,19,1,2020,0,0,Brazil,BRA,211049519,America,0.0
1276,19,1,2020,0,0,Canada,CAN,37411038,America,0.0
1282,19,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
1283,19,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
1305,19,1,2020,0,0,Mexico,MEX,127575529,America,0.0
1330,19,1,2020,0,0,United_States_of_America,USA,329064917,America,0.0
1341,20,1,2020,0,0,Brazil,BRA,211049519,America,0.0
1343,20,1,2020,0,0,Canada,CAN,37411038,America,0.0
1349,20,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
1350,20,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
1372,20,1,2020,0,0,Mexico,MEX,127575529,America,0.0
1397,20,1,2020,0,0,United_States_of_America,USA,329064917,America,0.0
1408,21,1,2020,0,0,Brazil,BRA,211049519,America,0.0
1410,21,1,2020,0,0,Canada,CAN,37411038,America,0.0
1416,21,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
1417,21,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
1439,21,1,2020,0,0,Mexico,MEX,127575529,America,0.00078385
