,Year,Continent,Cases,Deaths,Population
6,2020,Africa,1828828,43934,329346800962
7,2020,America,21239675,651901,293166374439
8,2020,Asia,13891992,247387,1365863511070
9,2020,Europe,11173822,282365,227572162444
10,2020,Oceania,43861,1064,11672544716
